"","seconds","etype","shotdff","ev.team","gcode"
"1",38,"SHOT",1,"WPG",20001
"2",49,"SHOT",2,"WPG",20001
"3",63,"SHOT",3,"WPG",20001
"4",106,"SHOT",2,"TOR",20001
"5",222,"SHOT",3,"WPG",20001
"6",230,"SHOT",4,"WPG",20001
"7",270,"SHOT",5,"WPG",20001
"8",279,"SHOT",6,"WPG",20001
"9",289,"SHOT",7,"WPG",20001
"10",311,"SHOT",6,"TOR",20001
"11",354,"SHOT",7,"WPG",20001
"12",432,"SHOT",6,"TOR",20001
"13",451,"SHOT",7,"WPG",20001
"14",488,"SHOT",8,"WPG",20001
"15",561,"SHOT",7,"TOR",20001
"16",603,"SHOT",8,"WPG",20001
"17",710,"SHOT",9,"WPG",20001
"18",768,"SHOT",10,"WPG",20001
"19",776,"SHOT",11,"WPG",20001
"20",806,"SHOT",10,"TOR",20001
"21",903,"SHOT",11,"WPG",20001
"22",940,"SHOT",10,"TOR",20001
"23",943,"SHOT",9,"TOR",20001
"24",945,"GOAL",8,"TOR",20001
"25",1056,"SHOT",7,"TOR",20001
"26",1060,"GOAL",6,"TOR",20001
"27",1103,"GOAL",5,"TOR",20001
"28",1193,"SHOT",6,"WPG",20001
"29",1330,"SHOT",7,"WPG",20001
"30",1358,"SHOT",8,"WPG",20001
"31",1360,"SHOT",9,"WPG",20001
"32",1572,"SHOT",10,"WPG",20001
"33",1582,"SHOT",11,"WPG",20001
"34",1603,"SHOT",10,"TOR",20001
"35",1659,"SHOT",11,"WPG",20001
"36",1682,"SHOT",12,"WPG",20001
"37",1712,"GOAL",11,"TOR",20001
"38",1728,"SHOT",10,"TOR",20001
"39",1834,"SHOT",9,"TOR",20001
"40",1862,"SHOT",10,"WPG",20001
"41",1910,"SHOT",11,"WPG",20001
"42",1923,"SHOT",12,"WPG",20001
"43",1971,"SHOT",11,"TOR",20001
"44",2008,"SHOT",10,"TOR",20001
"45",2245,"SHOT",9,"TOR",20001
"46",2272,"SHOT",8,"TOR",20001
"47",2436,"GOAL",7,"TOR",20001
"48",2451,"SHOT",8,"WPG",20001
"49",2591,"SHOT",9,"WPG",20001
"50",2605,"SHOT",8,"TOR",20001
"51",2698,"SHOT",9,"WPG",20001
"52",2704,"SHOT",10,"WPG",20001
"53",2754,"SHOT",11,"WPG",20001
"54",2794,"SHOT",10,"TOR",20001
"55",2795,"SHOT",9,"TOR",20001
"56",2807,"SHOT",8,"TOR",20001
"57",2868,"SHOT",7,"TOR",20001
"58",2884,"SHOT",6,"TOR",20001
"59",2885,"SHOT",5,"TOR",20001
"60",2887,"GOAL",4,"TOR",20001
"61",2946,"SHOT",3,"TOR",20001
"62",2958,"SHOT",4,"WPG",20001
"63",3091,"GOAL",5,"WPG",20001
"64",3117,"GOAL",4,"TOR",20001
"65",3177,"GOAL",5,"WPG",20001
"66",3235,"SHOT",6,"WPG",20001
"67",3352,"SHOT",5,"TOR",20001
"68",3416,"SHOT",6,"WPG",20001
"69",16,"SHOT",1,"PIT",20002
"70",48,"SHOT",0,"STL",20002
"71",71,"SHOT",-1,"STL",20002
"72",71,"SHOT",-2,"STL",20002
"73",107,"SHOT",-3,"STL",20002
"74",209,"SHOT",-2,"PIT",20002
"75",248,"SHOT",-1,"PIT",20002
"76",313,"SHOT",0,"PIT",20002
"77",318,"SHOT",1,"PIT",20002
"78",380,"SHOT",2,"PIT",20002
"79",397,"GOAL",3,"PIT",20002
"80",488,"SHOT",2,"STL",20002
"81",496,"SHOT",1,"STL",20002
"82",500,"SHOT",0,"STL",20002
"83",511,"GOAL",-1,"STL",20002
"84",529,"SHOT",-2,"STL",20002
"85",592,"SHOT",-1,"PIT",20002
"86",639,"SHOT",0,"PIT",20002
"87",641,"SHOT",1,"PIT",20002
"88",756,"SHOT",2,"PIT",20002
"89",897,"SHOT",1,"STL",20002
"90",934,"SHOT",0,"STL",20002
"91",1065,"GOAL",-1,"STL",20002
"92",1162,"SHOT",0,"PIT",20002
"93",1215,"SHOT",-1,"STL",20002
"94",1299,"SHOT",-2,"STL",20002
"95",1319,"SHOT",-1,"PIT",20002
"96",1399,"SHOT",-2,"STL",20002
"97",1473,"SHOT",-3,"STL",20002
"98",1525,"SHOT",-2,"PIT",20002
"99",1574,"SHOT",-3,"STL",20002
"100",1753,"SHOT",-2,"PIT",20002
"101",1819,"SHOT",-1,"PIT",20002
"102",1833,"SHOT",-2,"STL",20002
"103",1835,"SHOT",-3,"STL",20002
"104",1901,"SHOT",-4,"STL",20002
"105",1957,"GOAL",-3,"PIT",20002
"106",2082,"SHOT",-2,"PIT",20002
"107",2112,"SHOT",-1,"PIT",20002
"108",2137,"GOAL",-2,"STL",20002
"109",2210,"SHOT",-3,"STL",20002
"110",2274,"SHOT",-2,"PIT",20002
"111",2276,"SHOT",-1,"PIT",20002
"112",2277,"SHOT",0,"PIT",20002
"113",2319,"SHOT",-1,"STL",20002
"114",2335,"SHOT",-2,"STL",20002
"115",2371,"SHOT",-3,"STL",20002
"116",2417,"SHOT",-4,"STL",20002
"117",2430,"SHOT",-5,"STL",20002
"118",2493,"SHOT",-4,"PIT",20002
"119",2618,"GOAL",-5,"STL",20002
"120",2887,"SHOT",-4,"PIT",20002
"121",2949,"SHOT",-5,"STL",20002
"122",2955,"SHOT",-6,"STL",20002
"123",2998,"SHOT",-5,"PIT",20002
"124",3002,"SHOT",-4,"PIT",20002
"125",3038,"SHOT",-5,"STL",20002
"126",3070,"SHOT",-6,"STL",20002
"127",3143,"SHOT",-5,"PIT",20002
"128",3224,"SHOT",-4,"PIT",20002
"129",3226,"GOAL",-3,"PIT",20002
"130",3280,"GOAL",-2,"PIT",20002
"131",3444,"SHOT",-1,"PIT",20002
"132",3458,"SHOT",0,"PIT",20002
"133",3508,"SHOT",1,"PIT",20002
"134",3521,"SHOT",0,"STL",20002
"135",3675,"GOAL",-1,"STL",20002
"136",35,"SHOT",1,"EDM",20003
"137",66,"SHOT",2,"EDM",20003
"138",85,"SHOT",3,"EDM",20003
"139",125,"SHOT",2,"CGY",20003
"140",211,"SHOT",3,"EDM",20003
"141",352,"SHOT",2,"CGY",20003
"142",379,"SHOT",1,"CGY",20003
"143",434,"SHOT",0,"CGY",20003
"144",445,"SHOT",1,"EDM",20003
"145",451,"SHOT",2,"EDM",20003
"146",452,"SHOT",3,"EDM",20003
"147",539,"SHOT",4,"EDM",20003
"148",566,"SHOT",3,"CGY",20003
"149",589,"SHOT",4,"EDM",20003
"150",626,"SHOT",5,"EDM",20003
"151",660,"SHOT",6,"EDM",20003
"152",661,"GOAL",7,"EDM",20003
"153",667,"SHOT",6,"CGY",20003
"154",771,"SHOT",5,"CGY",20003
"155",864,"SHOT",4,"CGY",20003
"156",910,"SHOT",5,"EDM",20003
"157",1021,"SHOT",6,"EDM",20003
"158",1029,"SHOT",5,"CGY",20003
"159",1035,"SHOT",4,"CGY",20003
"160",1076,"SHOT",5,"EDM",20003
"161",1103,"SHOT",6,"EDM",20003
"162",1138,"SHOT",5,"CGY",20003
"163",1171,"SHOT",4,"CGY",20003
"164",1199,"SHOT",3,"CGY",20003
"165",1256,"SHOT",4,"EDM",20003
"166",1276,"SHOT",5,"EDM",20003
"167",1505,"SHOT",6,"EDM",20003
"168",1518,"SHOT",7,"EDM",20003
"169",1568,"SHOT",8,"EDM",20003
"170",1577,"SHOT",9,"EDM",20003
"171",1581,"SHOT",10,"EDM",20003
"172",1636,"SHOT",11,"EDM",20003
"173",1707,"SHOT",12,"EDM",20003
"174",1721,"SHOT",11,"CGY",20003
"175",1745,"SHOT",12,"EDM",20003
"176",1779,"SHOT",13,"EDM",20003
"177",1799,"SHOT",12,"CGY",20003
"178",1911,"SHOT",11,"CGY",20003
"179",1981,"SHOT",10,"CGY",20003
"180",1996,"SHOT",11,"EDM",20003
"181",2034,"SHOT",10,"CGY",20003
"182",2116,"SHOT",9,"CGY",20003
"183",2131,"SHOT",10,"EDM",20003
"184",2208,"SHOT",9,"CGY",20003
"185",2330,"SHOT",8,"CGY",20003
"186",2368,"SHOT",7,"CGY",20003
"187",2452,"SHOT",8,"EDM",20003
"188",2453,"SHOT",9,"EDM",20003
"189",2555,"SHOT",10,"EDM",20003
"190",2617,"SHOT",11,"EDM",20003
"191",2647,"SHOT",10,"CGY",20003
"192",2698,"SHOT",9,"CGY",20003
"193",2770,"SHOT",10,"EDM",20003
"194",2801,"SHOT",11,"EDM",20003
"195",2825,"SHOT",12,"EDM",20003
"196",2831,"SHOT",13,"EDM",20003
"197",2875,"SHOT",12,"CGY",20003
"198",2887,"GOAL",13,"EDM",20003
"199",2904,"SHOT",14,"EDM",20003
"200",2925,"SHOT",15,"EDM",20003
"201",2997,"SHOT",14,"CGY",20003
"202",3030,"SHOT",15,"EDM",20003
"203",3097,"SHOT",16,"EDM",20003
"204",3399,"SHOT",17,"EDM",20003
"205",3403,"SHOT",18,"EDM",20003
"206",3510,"SHOT",17,"CGY",20003
"207",3541,"GOAL",18,"EDM",20003
"208",33,"SHOT",1,"S.J",20004
"209",65,"SHOT",2,"S.J",20004
"210",70,"SHOT",3,"S.J",20004
"211",88,"SHOT",2,"PHI",20004
"212",170,"SHOT",1,"PHI",20004
"213",489,"SHOT",0,"PHI",20004
"214",508,"GOAL",-1,"PHI",20004
"215",599,"SHOT",0,"S.J",20004
"216",604,"SHOT",1,"S.J",20004
"217",665,"SHOT",0,"PHI",20004
"218",676,"GOAL",-1,"PHI",20004
"219",755,"SHOT",-2,"PHI",20004
"220",823,"SHOT",-1,"S.J",20004
"221",833,"SHOT",0,"S.J",20004
"222",851,"SHOT",-1,"PHI",20004
"223",1035,"SHOT",0,"S.J",20004
"224",1037,"GOAL",1,"S.J",20004
"225",1177,"SHOT",2,"S.J",20004
"226",1181,"GOAL",3,"S.J",20004
"227",1214,"SHOT",2,"PHI",20004
"228",1249,"SHOT",3,"S.J",20004
"229",1320,"SHOT",4,"S.J",20004
"230",1368,"SHOT",5,"S.J",20004
"231",1415,"SHOT",6,"S.J",20004
"232",1436,"SHOT",7,"S.J",20004
"233",1562,"SHOT",6,"PHI",20004
"234",1577,"SHOT",5,"PHI",20004
"235",1714,"SHOT",4,"PHI",20004
"236",1773,"SHOT",5,"S.J",20004
"237",1781,"SHOT",6,"S.J",20004
"238",1912,"SHOT",7,"S.J",20004
"239",1959,"SHOT",8,"S.J",20004
"240",1965,"SHOT",9,"S.J",20004
"241",2067,"SHOT",10,"S.J",20004
"242",2217,"SHOT",11,"S.J",20004
"243",2256,"GOAL",10,"PHI",20004
"244",2278,"SHOT",11,"S.J",20004
"245",2399,"SHOT",10,"PHI",20004
"246",2479,"SHOT",11,"S.J",20004
"247",2592,"GOAL",12,"S.J",20004
"248",2615,"SHOT",11,"PHI",20004
"249",2630,"SHOT",10,"PHI",20004
"250",2643,"SHOT",11,"S.J",20004
"251",2644,"SHOT",12,"S.J",20004
"252",2664,"SHOT",11,"PHI",20004
"253",2708,"SHOT",10,"PHI",20004
"254",2774,"SHOT",9,"PHI",20004
"255",2797,"SHOT",8,"PHI",20004
"256",2957,"SHOT",9,"S.J",20004
"257",2967,"GOAL",8,"PHI",20004
"258",3013,"SHOT",7,"PHI",20004
"259",3081,"SHOT",8,"S.J",20004
"260",3129,"SHOT",7,"PHI",20004
"261",3223,"SHOT",8,"S.J",20004
"262",3229,"SHOT",7,"PHI",20004
"263",3236,"SHOT",8,"S.J",20004
"264",3303,"SHOT",7,"PHI",20004
"265",3310,"SHOT",6,"PHI",20004
"266",3335,"SHOT",7,"S.J",20004
"267",3382,"SHOT",6,"PHI",20004
"268",3386,"SHOT",5,"PHI",20004
"269",3394,"SHOT",4,"PHI",20004
"270",3428,"SHOT",3,"PHI",20004
"271",3476,"SHOT",4,"S.J",20004
"272",3564,"GOAL",3,"PHI",20004
"273",3599,"SHOT",4,"S.J",20004
"274",86,"SHOT",1,"BOS",20005
"275",247,"SHOT",2,"BOS",20005
"276",252,"SHOT",3,"BOS",20005
"277",433,"SHOT",4,"BOS",20005
"278",495,"SHOT",5,"BOS",20005
"279",517,"GOAL",6,"BOS",20005
"280",626,"SHOT",7,"BOS",20005
"281",745,"SHOT",6,"NSH",20005
"282",770,"SHOT",7,"BOS",20005
"283",857,"SHOT",6,"NSH",20005
"284",882,"SHOT",7,"BOS",20005
"285",925,"SHOT",6,"NSH",20005
"286",1067,"SHOT",5,"NSH",20005
"287",1109,"SHOT",6,"BOS",20005
"288",1140,"SHOT",7,"BOS",20005
"289",1148,"SHOT",6,"NSH",20005
"290",1148,"SHOT",5,"NSH",20005
"291",1185,"SHOT",4,"NSH",20005
"292",1189,"GOAL",3,"NSH",20005
"293",1199,"SHOT",4,"BOS",20005
"294",1234,"SHOT",3,"NSH",20005
"295",1302,"SHOT",2,"NSH",20005
"296",1333,"SHOT",1,"NSH",20005
"297",1346,"SHOT",0,"NSH",20005
"298",1348,"SHOT",-1,"NSH",20005
"299",1424,"SHOT",0,"BOS",20005
"300",1448,"SHOT",1,"BOS",20005
"301",1455,"SHOT",2,"BOS",20005
"302",1478,"SHOT",3,"BOS",20005
"303",1548,"GOAL",4,"BOS",20005
"304",1639,"SHOT",5,"BOS",20005
"305",1694,"SHOT",6,"BOS",20005
"306",1702,"SHOT",7,"BOS",20005
"307",1717,"SHOT",6,"NSH",20005
"308",1838,"SHOT",5,"NSH",20005
"309",2036,"SHOT",6,"BOS",20005
"310",2083,"SHOT",5,"NSH",20005
"311",2143,"GOAL",6,"BOS",20005
"312",2215,"SHOT",7,"BOS",20005
"313",2229,"SHOT",8,"BOS",20005
"314",2424,"SHOT",7,"NSH",20005
"315",2511,"SHOT",6,"NSH",20005
"316",2555,"SHOT",5,"NSH",20005
"317",2561,"SHOT",4,"NSH",20005
"318",2631,"SHOT",5,"BOS",20005
"319",2634,"SHOT",6,"BOS",20005
"320",2645,"SHOT",7,"BOS",20005
"321",2741,"SHOT",8,"BOS",20005
"322",2769,"SHOT",7,"NSH",20005
"323",2788,"SHOT",6,"NSH",20005
"324",2848,"SHOT",5,"NSH",20005
"325",3123,"SHOT",6,"BOS",20005
"326",3137,"SHOT",7,"BOS",20005
"327",3247,"SHOT",6,"NSH",20005
"328",3301,"SHOT",7,"BOS",20005
"329",3427,"GOAL",8,"BOS",20005
"330",3455,"SHOT",7,"NSH",20005
"331",3492,"GOAL",6,"NSH",20005
"332",3565,"GOAL",5,"NSH",20005
"333",3571,"SHOT",4,"NSH",20005
"334",3598,"SHOT",3,"NSH",20005
"335",16,"SHOT",-1,"MTL",20006
"336",24,"SHOT",-2,"MTL",20006
"337",55,"SHOT",-3,"MTL",20006
"338",189,"SHOT",-4,"MTL",20006
"339",199,"SHOT",-5,"MTL",20006
"340",222,"SHOT",-6,"MTL",20006
"341",232,"SHOT",-7,"MTL",20006
"342",316,"SHOT",-6,"BUF",20006
"343",337,"SHOT",-5,"BUF",20006
"344",355,"SHOT",-4,"BUF",20006
"345",358,"SHOT",-3,"BUF",20006
"346",470,"SHOT",-2,"BUF",20006
"347",510,"GOAL",-1,"BUF",20006
"348",548,"SHOT",0,"BUF",20006
"349",558,"SHOT",1,"BUF",20006
"350",634,"SHOT",0,"MTL",20006
"351",643,"SHOT",1,"BUF",20006
"352",710,"SHOT",2,"BUF",20006
"353",802,"SHOT",1,"MTL",20006
"354",846,"SHOT",0,"MTL",20006
"355",878,"SHOT",-1,"MTL",20006
"356",929,"SHOT",-2,"MTL",20006
"357",1004,"SHOT",-1,"BUF",20006
"358",1032,"SHOT",-2,"MTL",20006
"359",1076,"GOAL",-3,"MTL",20006
"360",1145,"SHOT",-4,"MTL",20006
"361",1157,"SHOT",-5,"MTL",20006
"362",1199,"SHOT",-6,"MTL",20006
"363",1222,"GOAL",-5,"BUF",20006
"364",1237,"SHOT",-6,"MTL",20006
"365",1254,"SHOT",-7,"MTL",20006
"366",1275,"SHOT",-8,"MTL",20006
"367",1286,"SHOT",-7,"BUF",20006
"368",1390,"SHOT",-6,"BUF",20006
"369",1403,"SHOT",-5,"BUF",20006
"370",1447,"SHOT",-4,"BUF",20006
"371",1539,"SHOT",-3,"BUF",20006
"372",1545,"SHOT",-2,"BUF",20006
"373",1639,"SHOT",-3,"MTL",20006
"374",1679,"SHOT",-4,"MTL",20006
"375",1715,"SHOT",-3,"BUF",20006
"376",1719,"SHOT",-2,"BUF",20006
"377",1743,"SHOT",-1,"BUF",20006
"378",1774,"SHOT",0,"BUF",20006
"379",1898,"SHOT",1,"BUF",20006
"380",1949,"SHOT",2,"BUF",20006
"381",1981,"SHOT",3,"BUF",20006
"382",2042,"SHOT",2,"MTL",20006
"383",2054,"SHOT",3,"BUF",20006
"384",2082,"SHOT",2,"MTL",20006
"385",2087,"SHOT",1,"MTL",20006
"386",2215,"SHOT",0,"MTL",20006
"387",2260,"SHOT",-1,"MTL",20006
"388",2377,"SHOT",0,"BUF",20006
"389",2384,"SHOT",1,"BUF",20006
"390",2386,"SHOT",2,"BUF",20006
"391",2428,"SHOT",3,"BUF",20006
"392",2502,"SHOT",4,"BUF",20006
"393",2514,"SHOT",5,"BUF",20006
"394",2666,"SHOT",6,"BUF",20006
"395",2716,"SHOT",7,"BUF",20006
"396",2730,"SHOT",6,"MTL",20006
"397",2733,"SHOT",5,"MTL",20006
"398",2808,"SHOT",6,"BUF",20006
"399",2817,"SHOT",7,"BUF",20006
"400",2852,"SHOT",6,"MTL",20006
"401",2857,"SHOT",5,"MTL",20006
"402",2881,"GOAL",4,"MTL",20006
"403",2999,"SHOT",3,"MTL",20006
"404",3028,"SHOT",4,"BUF",20006
"405",3041,"SHOT",5,"BUF",20006
"406",3063,"SHOT",6,"BUF",20006
"407",3129,"SHOT",5,"MTL",20006
"408",3190,"SHOT",6,"BUF",20006
"409",3340,"SHOT",7,"BUF",20006
"410",3358,"SHOT",6,"MTL",20006
"411",3475,"SHOT",5,"MTL",20006
"412",3521,"SHOT",4,"MTL",20006
"413",3660,"SHOT",3,"MTL",20006
"414",3707,"SHOT",2,"MTL",20006
"415",3783,"SHOT",1,"MTL",20006
"416",3796,"SHOT",2,"BUF",20006
"417",3812,"SHOT",3,"BUF",20006
"418",3838,"SHOT",4,"BUF",20006
"419",3872,"SHOT",5,"BUF",20006
"420",3900,"SHOT",6,"BUF",20006
"421",3900,"GOAL",5,"MTL",20006
"422",3900,"SHOT",6,"BUF",20006
"423",287,"SHOT",-1,"COL",20007
"424",295,"SHOT",0,"NYR",20007
"425",327,"SHOT",-1,"COL",20007
"426",329,"GOAL",-2,"COL",20007
"427",367,"SHOT",-1,"NYR",20007
"428",390,"SHOT",0,"NYR",20007
"429",423,"SHOT",1,"NYR",20007
"430",453,"SHOT",2,"NYR",20007
"431",490,"SHOT",1,"COL",20007
"432",569,"SHOT",2,"NYR",20007
"433",638,"SHOT",1,"COL",20007
"434",653,"GOAL",0,"COL",20007
"435",693,"SHOT",1,"NYR",20007
"436",817,"SHOT",2,"NYR",20007
"437",859,"SHOT",3,"NYR",20007
"438",873,"SHOT",2,"COL",20007
"439",1013,"SHOT",3,"NYR",20007
"440",1036,"SHOT",4,"NYR",20007
"441",1048,"GOAL",5,"NYR",20007
"442",1105,"SHOT",6,"NYR",20007
"443",1198,"GOAL",7,"NYR",20007
"444",1315,"SHOT",8,"NYR",20007
"445",1324,"SHOT",7,"COL",20007
"446",1357,"SHOT",8,"NYR",20007
"447",1421,"SHOT",7,"COL",20007
"448",1533,"SHOT",6,"COL",20007
"449",1534,"SHOT",5,"COL",20007
"450",1630,"SHOT",6,"NYR",20007
"451",1792,"SHOT",7,"NYR",20007
"452",1796,"SHOT",8,"NYR",20007
"453",1837,"SHOT",7,"COL",20007
"454",1839,"SHOT",6,"COL",20007
"455",1857,"SHOT",7,"NYR",20007
"456",1889,"SHOT",8,"NYR",20007
"457",1907,"SHOT",7,"COL",20007
"458",1915,"SHOT",8,"NYR",20007
"459",1923,"SHOT",7,"COL",20007
"460",1928,"SHOT",6,"COL",20007
"461",2024,"SHOT",7,"NYR",20007
"462",2101,"SHOT",8,"NYR",20007
"463",2167,"SHOT",7,"COL",20007
"464",2270,"GOAL",6,"COL",20007
"465",2314,"SHOT",5,"COL",20007
"466",2384,"SHOT",6,"NYR",20007
"467",2452,"SHOT",5,"COL",20007
"468",2572,"SHOT",4,"COL",20007
"469",2584,"SHOT",5,"NYR",20007
"470",2591,"SHOT",6,"NYR",20007
"471",2619,"SHOT",7,"NYR",20007
"472",2693,"SHOT",8,"NYR",20007
"473",2722,"SHOT",7,"COL",20007
"474",2755,"SHOT",8,"NYR",20007
"475",2904,"SHOT",7,"COL",20007
"476",2934,"SHOT",8,"NYR",20007
"477",2969,"SHOT",7,"COL",20007
"478",2990,"SHOT",8,"NYR",20007
"479",3022,"SHOT",9,"NYR",20007
"480",3130,"SHOT",10,"NYR",20007
"481",3203,"SHOT",11,"NYR",20007
"482",3230,"SHOT",12,"NYR",20007
"483",3265,"SHOT",13,"NYR",20007
"484",3351,"SHOT",14,"NYR",20007
"485",3372,"SHOT",15,"NYR",20007
"486",3451,"SHOT",14,"COL",20007
"487",3597,"GOAL",13,"COL",20007
"488",323,"SHOT",-1,"WSH",20008
"489",385,"GOAL",0,"OTT",20008
"490",394,"SHOT",-1,"WSH",20008
"491",435,"SHOT",0,"OTT",20008
"492",472,"SHOT",1,"OTT",20008
"493",487,"GOAL",0,"WSH",20008
"494",564,"SHOT",1,"OTT",20008
"495",682,"SHOT",0,"WSH",20008
"496",808,"SHOT",1,"OTT",20008
"497",1103,"SHOT",0,"WSH",20008
"498",1142,"SHOT",-1,"WSH",20008
"499",1252,"SHOT",-2,"WSH",20008
"500",1253,"SHOT",-3,"WSH",20008
"501",1268,"SHOT",-4,"WSH",20008
"502",1327,"SHOT",-5,"WSH",20008
"503",1381,"SHOT",-4,"OTT",20008
"504",1392,"SHOT",-3,"OTT",20008
"505",1486,"SHOT",-2,"OTT",20008
"506",1592,"SHOT",-1,"OTT",20008
"507",1612,"GOAL",0,"OTT",20008
"508",1621,"SHOT",-1,"WSH",20008
"509",1692,"SHOT",-2,"WSH",20008
"510",1722,"SHOT",-3,"WSH",20008
"511",1740,"SHOT",-4,"WSH",20008
"512",1773,"SHOT",-3,"OTT",20008
"513",1898,"SHOT",-2,"OTT",20008
"514",1927,"SHOT",-1,"OTT",20008
"515",1929,"SHOT",0,"OTT",20008
"516",2107,"SHOT",1,"OTT",20008
"517",2150,"SHOT",2,"OTT",20008
"518",2177,"SHOT",1,"WSH",20008
"519",2310,"SHOT",0,"WSH",20008
"520",2348,"SHOT",-1,"WSH",20008
"521",2374,"SHOT",-2,"WSH",20008
"522",2523,"GOAL",-1,"OTT",20008
"523",2648,"SHOT",-2,"WSH",20008
"524",2655,"GOAL",-3,"WSH",20008
"525",2725,"SHOT",-4,"WSH",20008
"526",2738,"GOAL",-5,"WSH",20008
"527",2815,"GOAL",-4,"OTT",20008
"528",2940,"SHOT",-5,"WSH",20008
"529",2982,"SHOT",-4,"OTT",20008
"530",2992,"SHOT",-3,"OTT",20008
"531",3048,"GOAL",-4,"WSH",20008
"532",3090,"SHOT",-3,"OTT",20008
"533",3178,"SHOT",-2,"OTT",20008
"534",3369,"SHOT",-1,"OTT",20008
"535",3381,"SHOT",0,"OTT",20008
"536",3385,"SHOT",1,"OTT",20008
"537",3410,"SHOT",0,"WSH",20008
"538",3576,"SHOT",1,"OTT",20008
"539",3638,"SHOT",2,"OTT",20008
"540",3685,"SHOT",3,"OTT",20008
"541",3728,"SHOT",4,"OTT",20008
"542",3743,"SHOT",5,"OTT",20008
"543",3756,"SHOT",6,"OTT",20008
"544",3769,"SHOT",7,"OTT",20008
"545",3805,"SHOT",6,"WSH",20008
"546",3816,"SHOT",5,"WSH",20008
"547",3846,"SHOT",4,"WSH",20008
"548",3900,"GOAL",5,"OTT",20008
"549",3900,"GOAL",4,"WSH",20008
"550",3900,"SHOT",5,"OTT",20008
"551",3900,"GOAL",4,"WSH",20008
"552",46,"SHOT",-1,"MIN",20009
"553",114,"SHOT",-2,"MIN",20009
"554",143,"SHOT",-3,"MIN",20009
"555",157,"SHOT",-4,"MIN",20009
"556",161,"SHOT",-5,"MIN",20009
"557",287,"SHOT",-6,"MIN",20009
"558",315,"SHOT",-5,"DET",20009
"559",345,"SHOT",-4,"DET",20009
"560",375,"SHOT",-3,"DET",20009
"561",381,"SHOT",-2,"DET",20009
"562",422,"SHOT",-1,"DET",20009
"563",426,"SHOT",0,"DET",20009
"564",442,"SHOT",1,"DET",20009
"565",477,"SHOT",0,"MIN",20009
"566",490,"SHOT",1,"DET",20009
"567",608,"SHOT",0,"MIN",20009
"568",706,"SHOT",-1,"MIN",20009
"569",723,"SHOT",0,"DET",20009
"570",733,"SHOT",-1,"MIN",20009
"571",748,"SHOT",-2,"MIN",20009
"572",762,"SHOT",-3,"MIN",20009
"573",775,"SHOT",-4,"MIN",20009
"574",885,"SHOT",-5,"MIN",20009
"575",896,"SHOT",-6,"MIN",20009
"576",1034,"SHOT",-5,"DET",20009
"577",1111,"SHOT",-4,"DET",20009
"578",1151,"SHOT",-3,"DET",20009
"579",1189,"SHOT",-2,"DET",20009
"580",1307,"SHOT",-3,"MIN",20009
"581",1399,"SHOT",-4,"MIN",20009
"582",1430,"SHOT",-5,"MIN",20009
"583",1604,"SHOT",-4,"DET",20009
"584",1729,"SHOT",-5,"MIN",20009
"585",1749,"SHOT",-6,"MIN",20009
"586",1831,"SHOT",-7,"MIN",20009
"587",1957,"SHOT",-8,"MIN",20009
"588",1979,"SHOT",-7,"DET",20009
"589",2018,"SHOT",-6,"DET",20009
"590",2054,"SHOT",-5,"DET",20009
"591",2080,"SHOT",-4,"DET",20009
"592",2080,"GOAL",-3,"DET",20009
"593",2103,"GOAL",-2,"DET",20009
"594",2130,"SHOT",-1,"DET",20009
"595",2170,"SHOT",-2,"MIN",20009
"596",2209,"SHOT",-1,"DET",20009
"597",2256,"SHOT",-2,"MIN",20009
"598",2278,"SHOT",-3,"MIN",20009
"599",2284,"SHOT",-4,"MIN",20009
"600",2366,"SHOT",-3,"DET",20009
"601",2439,"SHOT",-4,"MIN",20009
"602",2520,"GOAL",-5,"MIN",20009
"603",2535,"SHOT",-6,"MIN",20009
"604",2568,"GOAL",-7,"MIN",20009
"605",2762,"SHOT",-6,"DET",20009
"606",2778,"SHOT",-5,"DET",20009
"607",2827,"GOAL",-4,"DET",20009
"608",2907,"SHOT",-3,"DET",20009
"609",2952,"SHOT",-4,"MIN",20009
"610",2975,"SHOT",-5,"MIN",20009
"611",2990,"SHOT",-6,"MIN",20009
"612",3025,"SHOT",-7,"MIN",20009
"613",3039,"GOAL",-6,"DET",20009
"614",3170,"SHOT",-5,"DET",20009
"615",3198,"SHOT",-4,"DET",20009
"616",3311,"SHOT",-5,"MIN",20009
"617",3341,"SHOT",-6,"MIN",20009
"618",3359,"SHOT",-7,"MIN",20009
"619",3387,"SHOT",-6,"DET",20009
"620",3511,"SHOT",-7,"MIN",20009
"621",3519,"SHOT",-8,"MIN",20009
"622",136,"SHOT",-1,"PIT",20010
"623",252,"SHOT",0,"CHI",20010
"624",294,"SHOT",1,"CHI",20010
"625",312,"SHOT",0,"PIT",20010
"626",317,"SHOT",-1,"PIT",20010
"627",326,"SHOT",0,"CHI",20010
"628",381,"GOAL",1,"CHI",20010
"629",424,"SHOT",2,"CHI",20010
"630",426,"GOAL",3,"CHI",20010
"631",454,"GOAL",4,"CHI",20010
"632",467,"SHOT",5,"CHI",20010
"633",472,"SHOT",6,"CHI",20010
"634",487,"SHOT",5,"PIT",20010
"635",513,"SHOT",4,"PIT",20010
"636",534,"SHOT",5,"CHI",20010
"637",538,"SHOT",6,"CHI",20010
"638",554,"SHOT",7,"CHI",20010
